customer_unique_id,total_orders,total_spend,days_since_last,churn_flag
5dff3703f9d82688ab5a1c92df1e4b18,1,2399.0,354,High Risk
85475e754525d6d222d917dbc8251801,1,2399.0,80,Active
98133dfcdb0c24fa03c9eb4f0d69a6c4,1,2399.0,326,High Risk
bef3ce10ea5715fbcbcbe3b266ee94c5,1,2370.0,145,High Risk
8e07cbdbbb24328ece74135e2a81405b,1,2350.0,68,Active
f755e02e22f99b9e1658cbd2186a212d,1,2350.0,72,Active
02ccceb879088a0253e1e46e0200bdb8,1,2338.08,69,Active
5e92460d739e8dd987e279285a1d278c,1,2338.08,65,Active
f140f377d666848e3712b51a2734d120,1,2338.08,79,Active
6963ee67570e4454bf00b3e5fe52f734,1,2300.0,58,Active
e6fad5b1c79a4760aac5068d09c46535,1,2300.0,53,Active
c01158adcf91ee8f143d12388abe5f22,1,2299.99,129,High Risk
